Date;Outcome;Full Moves;My Rating;Opponent Rating;Rating Diff;Color;Opening;Time Class
2020-11-11 19:32:06;loss;41;712;1102;-390;white;Alapin Sicilian Defense;rapid
2020-12-17 22:17:03;loss;34;669;1102;-433;black;Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5 4.Bc4;rapid
2020-12-17 22:44:30;loss;33;555;723;-168;white;Owens Defense 2.d4 Bb7;rapid
2020-12-22 23:00:10;loss;33;499;744;-245;black;Kings Fianchetto Opening 1...e5 2.Bg2 Nf6;rapid
2020-12-23 23:17:19;loss;34;464;759;-295;white;Owens Defense 2.d4 Bb7;rapid
2021-01-28 01:36:08;loss;18;654;946;-292;black;Four Knights Game Italian Variation;daily
2021-01-28 02:15:58;loss;28;597;1003;-406;black;Queens Pawn Opening Symmetrical Variation 3.c4;daily
2021-01-28 02:28:32;loss;25;565;1035;-470;white;Vienna Game Falkbeer Variation;daily
2021-01-28 19:33:48;loss;30;543;1057;-514;white;Queens Pawn Opening Zukertort Chigorin Variation;daily
2021-02-10 00:08:57;loss;16;526;1074;-548;black;Philidor Defense;daily
2021-02-10 01:19:59;loss;24;513;1087;-574;white;French Defense Normal Variation 2...d5 3.Nc3;daily
2021-02-13 14:09:26;loss;31;502;1098;-596;white;French Defense Knight Variation Two Knights Variation 3...Nf6;daily
2021-02-14 03:22:54;loss;37;493;1107;-614;black;Four Knights Game Spanish Variation Classical Variation 5.O O O O;daily
2021-02-17 19:36:43;loss;19;487;1136;-649;white;French Defense Normal Variation 2...d5 3.Nc3;daily
2021-02-19 01:11:58;loss;32;482;1143;-661;black;Four Knights Game Spanish Variation 4...Bd6 5.O O O O 6.d3;daily
2021-02-19 16:43:47;loss;19;479;1207;-728;black;Italian Game Two Knights Modern Bishops Opening;daily
2021-02-19 22:22:09;loss;25;472;1214;-742;white;Sicilian Defense Old Sicilian Variation 3.d3 d6;daily
2021-02-19 23:09:26;loss;28;466;1226;-760;black;Scotch Game 3...d6;daily
2021-02-20 02:48:15;loss;27;462;1170;-708;white;Giuoco Piano Game Four Knights Game 5.O O;daily
2021-02-20 15:03:25;loss;35;438;862;-424;black;Four Knights Game Italian Variation;daily
2021-02-22 17:55:18;loss;18;436;1207;-771;black;Ruy Lopez Opening Birds Defense 4.Nxd4 exd4;daily
2021-02-22 23:50:19;loss;24;434;1208;-774;white;Sicilian Defense Bowdler Attack 2...e6 3.Nc3 Nc6;daily
2021-02-23 00:53:47;loss;27;432;1206;-774;white;Scandinavian Defense Closed 2...d4;daily
2021-02-27 19:54:08;loss;36;430;1226;-796;black;Giuoco Piano Game 4.Nc3;daily
2021-03-02 03:05:21;loss;33;429;1273;-844;white;Sicilian Defense Old Sicilian Variation 3.Bc4;daily
2021-03-02 12:54:36;win;10;487;394;93;white;Giuoco Piano Game Four Knights Game;daily
2021-03-04 15:48:58;loss;28;485;1259;-774;black;Giuoco Piano Game 4.O O Nf6 5.Nc3 d6;daily
2021-03-06 13:38:00;loss;20;484;1283;-799;white;Petrovs Defense 3.d3 Nc6 4.Be2;daily
2021-03-08 07:08:56;win;28;533;455;78;black;Queens Pawn Opening 1...d5 2.e3 Nf6;daily
2021-03-10 18:58:56;loss;40;532;1328;-796;black;Ruy Lopez Opening;daily
2021-03-13 00:15:53;loss;33;531;1324;-793;black;Ruy Lopez Opening Morphy Defense Caro Variation 5.Bb3;daily
2021-03-13 02:21:07;win;41;631;1294;-663;white;Caro Kann Defense 2.d4 d5 3.Nc3 dxe4;daily
2021-03-15 00:06:33;loss;23;629;1312;-683;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.Nc3;daily
2021-03-15 03:19:07;win;21;686;722;-36;black;Petrovs Defense 3.d3 Nc6;daily
2021-03-16 17:40:08;win;27;726;655;71;white;Italian Game;daily
2021-03-16 20:33:06;loss;23;646;928;-282;white;;blitz
2021-03-17 23:08:03;loss;36;724;1354;-630;white;Slav Defense;daily
2021-03-18 00:13:46;loss;21;654;946;-292;black;;daily
2021-03-19 21:53:26;win;33;752;637;115;white;Philidor Defense 3.Nc3;daily
2021-03-22 18:03:00;loss;25;752;749;3;white;Owens Defense 2.d4 Bb7 3.Nc3;daily
2021-03-30 00:43:57;loss;49;750;1381;-631;white;Sicilian Defense Bowdler Attack 2...Nc6;daily
2021-04-03 00:59:54;loss;33;748;1402;-654;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.Nc3;daily
2021-04-14 00:50:41;loss;28;747;1450;-703;white;Sicilian Defense French Variation;daily
2021-04-25 01:40:49;loss;25;746;1460;-714;black;Ruy Lopez Opening Classical Defense 4.O O;daily
2021-04-27 18:45:44;loss;25;459;1108;-649;black;Bishops Opening Berlin Defense;rapid
2021-05-01 19:27:14;loss;29;745;1470;-725;white;Italian Game Knight Attack Normal Variation 5.exd5;daily
2021-05-13 03:31:52;loss;44;744;1494;-750;black;Ruy Lopez Opening Morphy Defense Caro Graz Variation;daily
2021-05-18 01:21:16;loss;27;743;1494;-751;white;Sicilian Defense Bowdler Attack 2...Nc6;daily
2021-05-24 03:00:02;loss;35;742;1494;-752;black;Philidor Defense;daily
2021-05-29 17:49:39;loss;40;741;1498;-757;white;Sicilian Defense Bowdler Attack 2...Nc6;daily
2021-06-04 19:05:15;loss;30;740;1518;-778;black;Four Knights Game Spanish Variation Classical Variation;daily
2021-06-12 01:39:33;loss;24;739;1523;-784;white;Italian Game Knight Attack Normal Variation 5.exd5;daily
2021-06-19 14:01:19;loss;28;738;1523;-785;black;Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.Nc3 d6;daily
2021-06-27 21:57:21;loss;30;737;1523;-786;white;Italian Game;daily
2021-07-20 03:18:09;loss;30;736;1546;-810;black;Philidor Defense 3.Nc3;daily
2021-08-10 15:42:47;loss;46;735;1585;-850;white;Sicilian Defense Bowdler Attack 2...e6;daily
2021-08-12 20:21:28;win;23;750;446;304;black;Kings Pawn Opening Kings Knight Variation;daily
2021-08-18 00:24:27;loss;26;749;1578;-829;white;Kings Pawn Opening Kings Knight Variation 2...Nc6;daily
2021-08-28 14:51:58;loss;30;748;1576;-828;black;Vienna Game Anderssen Defense 3.Nf3;daily
2021-09-01 03:56:30;loss;23;747;1576;-829;white;Bishops Opening;daily
2021-09-04 02:51:40;win;30;773;622;151;white;Pirc Defense Main Line Kholmov System;daily
2021-09-04 20:24:42;loss;40;772;1590;-818;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5;daily
2021-09-06 17:44:07;loss;14;795;1590;-795;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2021-09-09 00:40:08;loss;31;794;1590;-796;black;Four Knights Game Spanish Variation Classical Variation;daily
2021-09-10 23:23:57;loss;20;752;685;67;black;Center Game;daily
2021-09-11 22:38:46;win;11;791;858;-67;black;Bishops Opening Berlin Defense 3.d3;daily
2021-09-12 23:42:49;loss;36;790;1589;-799;white;Nimzowitsch Defense;daily
2021-09-15 02:59:20;loss;26;789;1589;-800;black;Queens Gambit Declined 3.e3;daily
2021-09-18 01:57:47;win;44;829;944;-115;black;Petrovs Defense Classical Variation;daily
2021-09-21 03:09:19;win;34;846;694;152;white;Philidor Defense 3.Bc4;daily
2021-09-24 02:14:55;win;14;863;725;138;black;Italian Game Two Knights Defense 4.O O;daily
